model,layer,hidden_dim,gamma,gamma_raw,effective_rank,dead_pct_init_topk,dead_pct_init_relu,dead_pct_init_centered,dead_pct_init_ln_centered,dead_pct_init_pca,domain
esm3,35,1536,1.7317226,1.5330019,860.3418697143653,21.98486328125,0.0,0.0,0.0,0.0,biology
esm3,36,1536,1.4633114,1.3216788,889.3044409471589,12.59765625,0.0,0.0,0.0,0.0,biology
esm3,37,1536,1.1614076,1.029783,868.2528125663429,2.16064453125,0.0,0.0,0.0,0.0,biology
esm3,38,1536,1.0475327,0.9329267,831.5304340473552,0.10986328125,0.0,0.0,0.0,0.0,biology
esm3,39,1536,0.9454374,0.84815776,775.9891784214722,0.01220703125,0.0,0.0,0.0,0.0,biology
esm3,40,1536,0.8172914,0.74452555,733.8547337298047,0.0,0.0,0.0,0.0,0.0,biology
esm3,41,1536,0.69212645,0.6331044,691.12035482096,0.0,0.0,0.0,0.0,0.0,biology
esm3,42,1536,0.65455014,0.59957,644.0835535413788,0.0,0.0,0.0,0.0,0.0,biology
esm3,43,1536,0.59089637,0.5465118,613.2276915167199,0.0,0.0,0.0,0.0,0.0,biology
esm3,44,1536,0.4953265,0.4696842,661.0860958670215,0.0,0.0,0.0,0.0,0.0,biology
esm3,45,1536,0.47965702,0.45543867,674.4080506496526,0.0,0.0,0.0,0.0,0.0,biology
esm3,46,1536,0.43706042,0.43175933,687.8776343912717,0.0,0.0,0.0,0.0,0.0,biology
esm3,47,1536,1.5096542,1.5003767,498.2536035455769,4.26025390625,0.0,0.0,0.0,0.0,biology
evo,1,4096,1.2444335,1.018954,1098.0436676539298,4.74853515625,0.0,0.0,0.0,0.0,biology
evo,2,4096,1.4617047,1.4111023,1309.9219291723973,0.8544921875,0.0,0.0,0.0,0.0,biology
evo,3,4096,1.0157783,0.8608683,1507.31611306656,0.0,0.0,0.0,0.0,0.0,biology
evo,4,4096,0.95198226,0.89611346,1551.421401166369,0.0,0.0,0.0,0.0,0.0,biology
evo,5,4096,0.8654773,0.7342924,1667.1956091523011,0.0,0.0,0.0,0.0,0.0,biology
evo,6,4096,0.9405338,0.91845113,1331.287954885837,0.0,0.0,0.0,0.0,0.0,biology
evo,7,4096,1.391404,1.3044635,1800.930521976144,22.93701171875,0.0,0.0,0.0,0.0,biology
evo,8,4096,0.82696056,0.8435275,1290.5801055954869,0.0,0.0,0.0,0.0,0.0,biology
